id;start_date;end_date;language
1;2023-02-24T09:59:59;2023-02-24T07:50:14;ENGLISH
2;2023-02-23T19:27:34;2023-02-24T04:53:03;FRENCH
3;2023-02-24T05:23:46;2023-02-23T17:28:54;SPANISH
4;2023-02-24T09:54:35;2023-02-23T15:20:54;FRENCH
5;2023-02-24T12:10:58;2023-02-23T20:29:56;ENGLISH
6;2023-02-23T21:41:41;2023-02-24T11:42:01;SPANISH
7;2023-02-24T05:45:29;2023-02-23T16:19:38;FRENCH
8;2023-02-23T20:11:22;2023-02-23T16:47:11;FRENCH
9;2023-02-23T21:03:00;2023-02-24T08:34:26;FRENCH
10;2023-02-23T16:59:58;2023-02-24T09:57:27;FRENCH
